ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
MDV,Maldives,-0.13890956083258998,65261.70970534844,57717.53098041955,-11.559885205260901,False
ALB,Albania,-1.12754443337493,24777.261046209824,17881.857540618188,-27.82956313343773,False
BDI,Burundi,1.3049987208138,770.7563139590214,828.2714993047537,7.462175048596498,False
FJI,Fiji,-0.07192434407606,31437.154913637773,29488.483875294627,-6.1986240284670036,False
MKD,North Macedonia,-0.98399012730515,30366.18502311025,23063.026082013923,-24.05030113443043,False
LBR,Liberia,1.07081676149884,1615.9780761060854,1708.8180462686469,5.7451256013492324,False
MDA,Moldova,-0.93809625725782,13750.331256963633,10391.028336235577,-24.430705398655693,False
TLS,Timor-Leste,0.45077481470734,10007.619266501955,10057.086828297157,0.4942989983719892,False
SLB,Solomon Islands,1.07129927131014,10497.17400276954,11000.96527590657,4.799303822191692,False
CAF,Central African Republic,1.65692956957946,1005.2313690969756,1093.3514163623977,8.766145782396585,False
PYF,French Polynesia,-0.54058777820003,98057.11822697532,82190.85706082819,-16.18063171040892,False
MUS,Mauritius,-1.02856562156985,30510.04229753846,22510.505832113864,-26.219355540093748,False
SWZ,Eswatini,0.09992206409777,12543.522464057649,11980.81721051186,-4.486022607749707,False
BTN,Bhutan,-0.17979304262801002,22869.481250574187,20202.9658109896,-11.659711081193135,False
JAM,Jamaica,-1.2879925999196,14295.854631549197,9667.617270694316,-32.37468119353234,False
VUT,Vanuatu,1.2926811395147402,15414.664783612,16261.601128032487,5.4943546052386605,False
SUR,Suriname,0.1462290059175,18154.569370148845,17486.094259628797,-3.6821314617310974,False
MNE,Montenegro,-0.88440183259031,38494.54211703548,29979.93151473242,-22.119007355421903,False
BRB,Barbados,-0.48962117038442,61333.14655012474,52396.593176016046,-14.570511830507925,False
GNB,Guinea-Bissau,0.9883156094660299,2312.1888528667228,2439.5522428633776,5.508347202640729,False
WSM,Samoa,0.74329740241877,27026.58282622448,27865.54817266199,3.1042228010544015,False
LSO,Lesotho,0.4374514488417,2793.9545712033705,2812.0717740245645,0.6484429993216079,False
BLZ,Belize,0.09228135498519,18396.93991186886,17178.000865342816,-6.625770657323504,False
COM,Comoros,1.04051304849016,3819.893629223772,4044.16283119258,5.871085002290521,False
ABW,Aruba,-0.47763584165992,86847.94978785224,73504.36931483902,-15.364301063650021,False
SYC,Seychelles,-0.15457039745705,40823.95749299166,36980.91393645784,-9.413696742148458,False
CUW,Curacao,-0.5680130328803099,39002.5093457109,32992.366846530764,-15.40963030328989,False
CPV,Cabo Verde,-0.30292318799192,11213.692622454646,9696.708131400072,-13.527965694519906,False
TON,Tonga,0.16252451160123,29215.791632937213,29163.63436924813,-0.17852421849243738,False
ATG,Antigua and Barbuda,-0.42332409666939,49477.60484187818,42277.51816471974,-14.552213471465858,False
KIR,Kiribati,0.66300073113284,12195.968655806182,12571.349000230251,3.0779051260135804,False
FSM,"Micronesia, Fed. Sts.",0.1636003652428,17908.94473439393,17467.963089871853,-2.4623541535374494,False
STP,Sao Tome and Principe,1.0770503787228098,3871.36706327482,4097.403920542879,5.8386831724722255,False
GRD,Grenada,-0.60711145162985,26947.9334080992,21737.910406720504,-19.333664375958502,False
